FOV,by,detector,color,index,label,y,x
2,detector,spectral,blue,0,7.0,34.76767252604215,70.57348324011787
2,detector,spectral,blue,1,15.0,81.31957813856451,42.50993212624997
2,detector,spectral,blue,2,16.0,88.04434565013314,49.49089464071972
2,detector,spectral,blue,3,10.0,63.70204335149364,87.96006650859223
2,detector,spectral,blue,4,14.0,74.37771723440066,86.69264351429894
2,detector,spectral,blue,5,17.0,90.91499443487098,91.11349451763488
2,detector,spectral,blue,6,20.0,99.36699585154231,94.30270441209758
2,detector,spectral,blue,7,19.0,98.71700961973784,157.28320669229737
2,detector,spectral,blue,8,4.0,15.308808844772924,265.0674658593702
2,detector,spectral,blue,9,6.0,23.76468841070892,352.63701446672616
2,detector,spectral,blue,10,8.0,35.68350356945769,415.5304735912042
2,detector,spectral,blue,11,5.0,18.737167729661103,428.7215010862405
2,detector,spectral,blue,12,9.0,60.70604235447289,266.3779180320236
2,detector,spectral,blue,13,11.0,64.37535024748345,268.68810110428404
2,detector,spectral,blue,14,12.0,68.1577756006416,269.8737448159738
2,detector,spectral,blue,15,13.0,73.02119598645154,309.0760380547137
2,detector,spectral,blue,16,18.0,96.81608862991004,387.7862605789381
2,detector,spectral,blue,17,21.0,115.85658749634324,322.47374651142013
2,detector,spectral,blue,18,22.0,130.77296761721564,259.4267270113272
2,detector,spectral,blue,19,23.0,149.83324333133845,296.8774056161656
2,detector,spectral,blue,20,24.0,167.74389703722397,385.4007047613266
2,detector,spectral,blue,21,25.0,174.54891543240177,476.1043171802684
2,detector,spectral,blue,22,27.0,183.80317601507332,480.8610818475058
2,detector,spectral,blue,23,26.0,185.6140379434081,51.635550791466834
2,detector,spectral,blue,24,28.0,192.02915796103045,29.49376087716969
2,detector,spectral,blue,25,32.0,226.2292754068468,50.71851298563085
2,detector,spectral,blue,26,31.0,221.79591267926585,94.71015807773594
2,detector,spectral,blue,27,30.0,209.94446677032445,206.477563061013
2,detector,spectral,blue,28,29.0,205.15851265012856,268.85035597980374
2,detector,spectral,blue,29,34.0,266.1589231172085,52.88555666111422
2,detector,spectral,blue,30,36.0,316.03186323945937,63.52765925707867
2,detector,spectral,blue,31,37.0,319.09091856717936,97.144397271133
2,detector,spectral,blue,32,38.0,326.79373570886946,99.18482101820896
2,detector,spectral,blue,33,41.0,350.328879156457,261.16656851367105
2,detector,spectral,blue,34,39.0,328.0,462.5173550488404
2,detector,spectral,blue,35,40.0,345.48492478190394,505.9342599862413
2,detector,spectral,blue,36,42.0,380.8889316254642,119.40670014106058
2,detector,spectral,blue,37,43.0,396.3445062879107,121.04525901826848
2,detector,spectral,blue,38,44.0,440.1458913466049,133.8596990252184
2,detector,spectral,blue,39,46.0,459.1177602230161,118.91428458722513
2,detector,spectral,blue,40,48.0,467.1788558583682,124.40466231002236
2,detector,spectral,blue,41,45.0,455.3610058999644,337.9920007009846
2,detector,spectral,blue,42,47.0,462.90445672271136,339.30570231597045
2,detector,spectral,blue,43,49.0,469.30326876837137,340.956605853182
2,detector,spectral,blue,44,50.0,486.4525303244461,404.0
2,detector,spectral,green,0,6.0,33.053692395362056,65.85052023169473
2,detector,spectral,green,1,14.0,78.74242236685086,37.357098845604725
2,detector,spectral,green,2,15.0,85.51046186291187,45.00064237753334
2,detector,spectral,green,3,9.0,60.50808668698286,83.36263843457479
2,detector,spectral,green,4,13.0,72.07140548274775,82.40069610939663
2,detector,spectral,green,5,16.0,88.65284405285185,86.54836846120642
2,detector,spectral,green,6,19.0,96.95977762666044,90.01530997244173
2,detector,spectral,green,7,18.0,96.16565260284142,153.332987377291
2,detector,spectral,green,8,3.0,13.046218624618325,261.77602776759085
2,detector,spectral,green,9,5.0,22.064367210055934,349.26680013780094
2,detector,spectral,green,10,7.0,33.24048174692815,412.4314283512725
