FOV,spectral,camera,mean_bead_disp_affine,mean_bead_disp_syn,num_beads_fixed,num_beads_affine,num_beads_syn
1,blue,DAPI,42.48329627278145,40.26268768595104,21,24,24
1,green,FITC,38.84349673119076,37.435138647961004,21,19,19
1,yellow,YFP,36.348011083658164,36.968649525908816,21,20,20
1,red,TRITC,37.12315658224186,38.49210740928938,21,20,20
2,blue,DAPI,38.72084281102663,34.44721640425772,20,18,18
2,green,FITC,45.09515326155687,49.41781720111058,21,20,19
2,yellow,YFP,44.25914338776974,44.944959346473205,21,13,14
2,red,TRITC,59.1341042946173,62.17254990345673,16,23,22
3,blue,DAPI,39.005751917292336,37.48673414446228,18,18,18
3,green,FITC,28.876400227918065,22.93933070879916,18,16,16
3,yellow,YFP,35.755752029239474,33.69561138875714,18,16,16
4,blue,DAPI,43.33217037002169,36.7417438830867,23,39,23
4,green,FITC,38.97368968216858,35.762683163470754,23,20,19
4,yellow,YFP,42.28047930500232,38.93776243231856,23,22,22
4,red,TRITC,37.316620117184485,31.299436290665945,23,20,20
5,blue,DAPI,32.646450094541684,25.91953081909,35,33,32
5,green,FITC,25.011891977911038,7.003840361001763,35,32,30
5,yellow,YFP,27.95908766168342,26.140698280308587,35,28,29
5,red,TRITC,31.92890138270047,29.42567867246662,34,35,35
6,blue,DAPI,32.85806760435241,29.091814458885676,37,38,41
6,green,FITC,29.001998532126954,0.4975489589249456,38,36,35
6,yellow,YFP,31.455968049712062,28.768401071027178,38,36,35
6,red,TRITC,27.310136944456378,26.967104487816115,37,36,36
