FOV,pair,status,num_fixed_objects,num_moving_objects,num_mutual_pairs,num_ransac_inliers,inlier_pct_10px,median_error_px,PASS,out_dir
1,blue->DAPI,OK,21,18,14,12,94.44444444444444,0.6768358260792222,YES,outputs_2d/FOV-1/blue_to_DAPI/mask_affine_mutualNN_ransac
1,green->FITC,OK,34,22,19,16,100.0,1.1121289449719123,YES,outputs_2d/FOV-1/green_to_FITC/mask_affine_mutualNN_ransac
1,yellow->YFP,OK,40,23,18,15,95.65217391304348,1.1435150401708025,YES,outputs_2d/FOV-1/yellow_to_YFP/mask_affine_mutualNN_ransac
1,red->TRITC,OK,35,22,19,15,100.0,0.8184863470012889,YES,outputs_2d/FOV-1/red_to_TRITC/mask_affine_mutualNN_ransac
2,blue->DAPI,OK,25,29,13,8,93.10344827586206,1.2395969770624318,YES,outputs_2d/FOV-2/blue_to_DAPI/mask_affine_mutualNN_ransac
2,green->FITC,OK,47,30,15,9,86.66666666666667,4.976530037948407,YES,outputs_2d/FOV-2/green_to_FITC/mask_affine_mutualNN_ransac
2,yellow->YFP,OK,44,28,14,9,85.71428571428571,1.8211302892412093,YES,outputs_2d/FOV-2/yellow_to_YFP/mask_affine_mutualNN_ransac
2,red->TRITC,OK,51,51,15,8,45.09803921568628,82.65751930005491,NO,outputs_2d/FOV-2/red_to_TRITC/mask_affine_mutualNN_ransac
3,blue->DAPI,OK,21,17,12,8,100.0,0.7321046336891989,YES,outputs_2d/FOV-3/blue_to_DAPI/mask_affine_mutualNN_ransac
3,green->FITC,OK,28,26,14,9,96.15384615384616,2.727342010165706,YES,outputs_2d/FOV-3/green_to_FITC/mask_affine_mutualNN_ransac
3,yellow->YFP,OK,37,20,14,9,100.0,2.0508378221992634,YES,outputs_2d/FOV-3/yellow_to_YFP/mask_affine_mutualNN_ransac
3,red->TRITC,OK,36,18,11,7,94.44444444444444,3.235456362229523,YES,outputs_2d/FOV-3/red_to_TRITC/mask_affine_mutualNN_ransac
4,blue->DAPI,OK,23,21,10,4,28.57142857142857,20.11921799617645,NO,outputs_2d/FOV-4/blue_to_DAPI/mask_affine_mutualNN_ransac
4,green->FITC,OK,41,30,15,5,20.0,32.05661587872922,NO,outputs_2d/FOV-4/green_to_FITC/mask_affine_mutualNN_ransac
4,yellow->YFP,OK,48,33,13,5,24.242424242424242,46.51774224185989,NO,outputs_2d/FOV-4/yellow_to_YFP/mask_affine_mutualNN_ransac
4,red->TRITC,OK,43,23,14,7,86.95652173913044,2.2395597559486324,YES,outputs_2d/FOV-4/red_to_TRITC/mask_affine_mutualNN_ransac
5,blue->DAPI,OK,44,36,19,6,97.22222222222221,3.234058584937213,YES,outputs_2d/FOV-5/blue_to_DAPI/mask_affine_mutualNN_ransac
5,green->FITC,OK,67,51,27,11,90.19607843137256,1.2193982972773054,YES,outputs_2d/FOV-5/green_to_FITC/mask_affine_mutualNN_ransac
5,yellow->YFP,OK,58,42,24,10,95.23809523809523,2.807928575079028,YES,outputs_2d/FOV-5/yellow_to_YFP/mask_affine_mutualNN_ransac
5,red->TRITC,OK,47,39,26,10,97.43589743589743,2.2138467214506568,YES,outputs_2d/FOV-5/red_to_TRITC/mask_affine_mutualNN_ransac
6,blue->DAPI,OK,43,44,27,10,95.45454545454545,1.2600469424502774,YES,outputs_2d/FOV-6/blue_to_DAPI/mask_affine_mutualNN_ransac
6,green->FITC,OK,62,47,29,9,95.74468085106383,0.901044633958547,YES,outputs_2d/FOV-6/green_to_FITC/mask_affine_mutualNN_ransac
6,yellow->YFP,OK,63,41,25,5,12.195121951219512,36.83124302169235,NO,outputs_2d/FOV-6/yellow_to_YFP/mask_affine_mutualNN_ransac
6,red->TRITC,OK,51,44,30,13,95.45454545454545,1.0345828573409166,YES,outputs_2d/FOV-6/red_to_TRITC/mask_affine_mutualNN_ransac
